Date,Open,High,Low,Close,Volume
2013-07-10 00:00:00.000000,76.7,89.84,75.53,88.0,4916740.89
2013-07-11 00:00:00.000000,88.0,90.7,85.0,88.98,3084484.64
2013-07-12 00:00:00.000000,88.98,104.17,88.0,93.99,9759561.48
2013-07-13 00:00:00.000000,93.99,98.32,87.76,98.32,3186590.74
2013-07-14 00:00:00.000000,98.32,99.0,92.86,94.42,1171458.48
2013-07-15 00:00:00.000000,94.42,101.94,93.11,98.89,3366165.02
2013-07-16 00:00:00.000000,98.89,100.73,96.0,97.1,1560692.7
2013-07-17 00:00:00.000000,97.1,100.0,96.18,98.5,1642097.6
2013-07-18 00:00:00.000000,98.5,98.8,86.2,90.07,5358091.05
2013-07-19 00:00:00.000000,90.07,95.2,87.6,92.09,2474448.15
2013-07-20 00:00:00.000000,92.09,93.1,89.27,89.82,829452.96
2013-07-21 00:00:00.000000,89.82,92.0,88.0,92.0,769333.68
2013-07-22 00:00:00.000000,92.0,92.0,89.8,91.6,751344.12
2013-07-23 00:00:00.000000,91.6,97.13,91.6,95.56,2251574.55
2013-07-24 00:00:00.000000,95.56,95.99,92.3,95.09,1304035.34
2013-07-25 00:00:00.000000,95.09,97.48,93.57,96.95,2086771.46
2013-07-26 00:00:00.000000,96.95,97.48,96.0,96.02,1004832.58
2013-07-27 00:00:00.000000,96.02,97.0,93.0,94.4,1383243.82
2013-07-28 00:00:00.000000,94.4,100.58,94.0,98.78,4137932.56
2013-07-29 00:00:00.000000,98.78,102.85,98.45,101.48,2412405.74
2013-07-30 00:00:00.000000,101.48,107.99,100.47,107.96,2793637.02
2013-07-31 00:00:00.000000,107.96,111.65,103.55,106.21,4838033.8
2013-08-01 00:00:00.000000,106.21,108.0,103.0,104.0,1473502.4
2013-08-02 00:00:00.000000,104.0,108.0,101.21,104.5,2793208.56
2013-08-03 00:00:00.000000,104.5,105.89,102.0,104.95,866021.18
2013-08-04 00:00:00.000000,104.95,106.0,103.5,105.12,639772.27
2013-08-05 00:00:00.000000,105.12,107.77,105.0,106.72,1543737.67
2013-08-06 00:00:00.000000,106.72,107.5,105.11,106.56,1301008.13
2013-08-07 00:00:00.000000,106.56,106.96,105.22,105.99,719935.22
2013-08-08 00:00:00.000000,105.99,106.65,100.96,103.05,2397802.03
2013-08-09 00:00:00.000000,103.05,105.79,101.94,102.8,1133150.53
2013-08-10 00:00:00.000000,102.8,103.9,102.38,103.0,351636.37
2013-08-11 00:00:00.000000,103.0,105.19,102.7,105.0,820721.72
2013-08-12 00:00:00.000000,105.0,108.12,103.5,106.81,2030771.27
2013-08-13 00:00:00.000000,106.81,109.64,104.5,109.6,1912320.25
2013-08-14 00:00:00.000000,109.6,115.0,108.0,112.56,5567652.07
2013-08-15 00:00:00.000000,112.56,113.32,108.78,109.99,1643457.67
2013-08-16 00:00:00.000000,109.99,112.3,108.21,108.99,1378751.98
