,date,open,high,low,close,volume,adj_close
1970-01-01 00:00:00.000000000,2018-07-10,471.48,473.06,427.82,432.69,250532493.85,
1970-01-01 00:00:00.000000001,2018-07-11,432.69,447.09,425.13,445.59,141230265.35,
1970-01-01 00:00:00.000000002,2018-07-12,445.94,439.25,430.12,431.12,304661945.46,
1970-01-01 00:00:00.000000003,2018-07-13,431.13,438.52,429.42,432.97,441417097.33,
1970-01-01 00:00:00.000000004,2018-07-14,432.96,438.69,433.73,434.42,427808808.57,
1970-01-01 00:00:00.000000005,2018-07-15,434.39,452.24,440.09,450.34,406351224.28,
1970-01-01 00:00:00.000000006,2018-07-16,450.4,484.04,473.12,480.2,501160123.06,
1970-01-01 00:00:00.000000007,2018-07-17,480.2,523.27,498.95,499.83,637218460.6,
1970-01-01 00:00:00.000000008,2018-07-18,499.83,506.8,476.82,479.85,701451796.55,
1970-01-01 00:00:00.000000009,2018-07-19,479.77,487.08,467.94,468.91,503177807.26,
1970-01-01 00:00:00.000000010,2018-07-20,468.89,460.28,443.63,449.13,504014253.33,
1970-01-01 00:00:00.000000011,2018-07-21,449.13,468.17,451.66,461.13,350061167.46,
1970-01-01 00:00:00.000000012,2018-07-22,461.13,464.49,454.79,457.98,366940894.62,
1970-01-01 00:00:00.000000013,2018-07-23,457.9,477.74,447.64,449.73,372528398.55,
1970-01-01 00:00:00.000000014,2018-07-24,449.73,497.45,475.79,478.39,549786533.58,
1970-01-01 00:00:00.000000015,2018-07-25,478.39,475.34,461.21,471.99,461543419.25,
1970-01-01 00:00:00.000000016,2018-07-26,472.0,466.79,457.19,462.98,402683586.82,
1970-01-01 00:00:00.000000017,2018-07-27,463.05,482.79,464.38,469.94,316551280.56,
1970-01-01 00:00:00.000000018,2018-07-28,469.94,473.36,466.85,468.75,307304708.38,
1970-01-01 00:00:00.000000019,2018-07-29,468.66,469.26,464.91,466.3,302088737.1,
1970-01-01 00:00:00.000000020,2018-07-30,466.3,466.28,454.51,456.22,434017720.46,
1970-01-01 00:00:00.000000021,2018-07-31,456.31,434.57,420.88,431.71,351353991.41,
1970-01-01 00:00:00.000000022,2018-08-01,431.97,435.63,407.92,419.87,180870688.86,
1970-01-01 00:00:00.000000023,2018-08-02,420.27,419.05,409.1,411.36,379881312.39,
1970-01-01 00:00:00.000000024,2018-08-03,411.28,418.65,403.52,417.76,353047478.91,
1970-01-01 00:00:00.000000025,2018-08-04,417.76,411.18,386.19,407.32,301931009.33,
1970-01-01 00:00:00.000000026,2018-08-05,407.32,412.33,406.35,409.37,293842254.25,
1970-01-01 00:00:00.000000027,2018-08-06,409.38,407.23,400.63,405.7,285802073.75,
1970-01-01 00:00:00.000000028,2018-08-07,405.7,393.04,372.26,378.32,354474623.82,
1970-01-01 00:00:00.000000029,2018-08-08,377.94,380.36,347.7,355.57,268260157.35,
1970-01-01 00:00:00.000000030,2018-08-09,355.67,373.88,363.22,364.33,351605181.28,
1970-01-01 00:00:00.000000031,2018-08-10,364.33,347.3,330.44,332.28,399736298.56,
1970-01-01 00:00:00.000000032,2018-08-11,332.26,337.66,311.88,318.62,439604301.32,
1970-01-01 00:00:00.000000033,2018-08-12,318.62,326.07,317.92,318.55,351826518.53,
1970-01-01 00:00:00.000000034,2018-08-13,318.21,322.3,281.06,284.03,221289324.59,
1970-01-01 00:00:00.000000035,2018-08-14,284.03,284.03,250.45,278.31,331398930.74,
1970-01-01 00:00:00.000000036,2018-08-15,278.31,304.72,276.86,281.24,278662361.27,
1970-01-01 00:00:00.000000037,2018-08-16,281.24,298.84,278.02,286.8,153825432.04,
1970-01-01 00:00:00.000000038,2018-08-17,286.8,318.31,285.34,317.57,221725330.97,
1970-01-01 00:00:00.000000039,2018-08-18,317.57,321.17,283.02,294.85,161954925.25,
