time,open,high,low,close,volume
2014-07-10,623.0,624.95,611.66,618.39,2253171.2
2014-07-11,618.39,633.62,616.11,632.9,1969199.34
2014-07-12,632.9,638.59,625.9,635.9,2179286.05
2014-07-13,635.9,638.64,627.54,628.03,1082830.37
2014-07-14,628.03,628.99,616.06,618.32,1601572.72
2014-07-15,618.32,624.42,617.3,619.6,2310446.24
2014-07-16,619.6,622.36,614.15,614.8,1873008.17
2014-07-17,614.8,632.55,610.01,626.58,1833775.87
2014-07-18,626.58,630.15,617.92,627.47,2109225.77
2014-07-19,627.47,634.14,625.14,627.04,2505181.18
2014-07-20,627.04,627.93,619.96,620.98,1442853.55
2014-07-21,620.98,625.93,615.02,625.13,1596614.67
2014-07-22,625.13,628.81,620.0,622.53,2068876.01
2014-07-23,622.53,624.99,621.0,621.69,1372935.87
2014-07-24,621.69,621.96,599.38,601.87,2896094.23
2014-07-25,601.87,609.06,597.4,600.5,3592179.37
2014-07-26,600.5,602.98,593.25,596.0,2095634.61
2014-07-27,596.0,601.49,593.69,595.03,2118021.68
2014-07-28,595.03,597.49,578.14,587.93,1391966.02
2014-07-29,587.93,591.28,579.53,585.77,3962906.1
2014-07-30,585.77,586.13,564.18,564.64,2397473.33
2014-07-31,564.64,593.73,564.01,589.52,2057947.94
2014-08-01,589.52,603.99,586.43,598.78,5356663.39
2014-08-02,598.78,598.91,587.42,591.72,1278807.32
2014-08-03,591.72,592.06,580.62,588.94,752201.76
2014-08-04,588.94,595.09,586.49,592.77,2047890.49
2014-08-05,592.77,594.25,585.44,588.76,2429310.9
2014-08-06,588.76,593.79,587.2,589.77,1785940.76
2014-08-07,589.77,595.08,587.92,592.8,1485017.95
2014-08-08,592.8,608.2,592.08,595.85,1873039.39
2014-08-09,595.85,595.56,587.41,589.52,843722.69
2014-08-10,589.52,596.64,588.06,592.06,796584.42
2014-08-11,592.06,593.62,571.72,575.89,1512262.72
2014-08-12,575.89,578.29,561.98,567.66,1894843.87
2014-08-13,567.66,573.51,523.15,542.1,2659458.34
2014-08-14,542.1,544.94,495.94,504.8,5608470.79
2014-08-15,504.8,515.24,483.21,496.45,2407799.63
2014-08-16,496.45,524.25,483.24,522.01,1956441.61
2014-08-17,522.01,524.71,478.22,485.5,1584568.58
2014-08-18,485.5,493.26,449.95,462.18,2991012.04
2014-08-19,462.18,487.05,455.8,485.12,2458098.82
2014-08-20,485.12,521.84,468.51,516.78,2965577.49
2014-08-21,516.78,537.17,511.36,517.94,2974478.96
2014-08-22,517.94,524.44,500.57,516.1,3116862.95
2014-08-23,516.1,516.82,493.98,497.68,1596652.49
2014-08-24,497.68,514.82,496.81,509.71,1294320.61
2014-08-25,509.71,511.33,499.71,502.93,1409621.07
2014-08-26,502.93,516.04,501.81,512.56,1831000.54
2014-08-27,512.56,527.37,512.66,515.23,1982424.62
2014-08-28,515.23,521.59,503.34,510.75,2307082.42
2014-08-29,510.75,515.18,506.69,512.56,1876846.6
2014-08-30,512.56,512.91,503.12,505.96,1337420.67
2014-08-31,505.96,508.34,478.31,481.78,2982601.77
2014-09-01,481.78,487.47,471.78,477.19,3261178.74
2014-09-02,477.19,486.99,470.54,478.94,3291738.72
2014-09-03,478.94,487.29,476.82,480.04,3018772.64
2014-09-04,480.04,498.47,476.26,490.99,4345165.83
2014-09-05,490.99,495.02,483.07,483.65,3013185.15
2014-09-06,483.65,491.38,480.79,484.47,1883095.02
2014-09-07,484.47,490.72,478.49,485.75,1755360.28
2014-09-08,485.75,487.02,469.5,475.69,3948928.43
2014-09-09,475.69,478.6,467.52,474.9,3529051.35
2014-09-10,474.9,491.04,471.57,479.7,4058785.18
2014-09-11,479.7,488.92,474.57,478.49,3086920.26
2014-09-12,478.49,479.71,471.14,477.73,2514548.2
2014-09-13,477.73,480.64,474.64,478.17,2569793.0
2014-09-14,478.17,480.33,471.96,477.74,2031789.95
2014-09-15,477.74,479.28,473.7,477.71,2753462.23
2014-09-16,477.71,478.81,463.95,466.75,3139554.53
