Date,1. open,2. high,3. low,4. close,Volume
2024-07-13,3134.84000000,3139.27000000,3127.03000000,3131.24000000,628.36325520
2024-07-12,3099.35000000,3158.30000000,3045.80000000,3135.05000000,49238.51060916
2024-07-11,3100.35000000,3220.48000000,3055.00000000,3099.29000000,77797.90457066
2024-07-10,3066.35000000,3150.72000000,3023.80000000,3100.30000000,67608.08879775
2024-07-09,3018.47000000,3113.50000000,3003.55000000,3066.51000000,59915.93941771
2024-07-08,2930.78000000,3095.94000000,2822.64000000,3018.48000000,142216.01547184
2024-07-07,3067.38000000,3073.49000000,2921.13000000,2930.78000000,43012.58338564
2024-07-06,2981.74000000,3082.05000000,2955.67000000,3067.39000000,53153.51902767
2024-07-05,3059.08000000,3108.70000000,2809.41000000,2981.74000000,246354.98758317
2024-07-04,3291.88000000,3309.58000000,3050.00000000,3058.89000000,128764.42789612
2024-07-03,3416.17000000,3427.04000000,3248.00000000,3291.73000000,87308.24050746
2024-07-02,3438.59000000,3460.56000000,3396.76000000,3416.17000000,43494.06793371
2024-07-01,3432.37000000,3518.85000000,3420.50000000,3438.59000000,61636.24032048
2024-06-30,3373.34000000,3453.93000000,3347.21000000,3432.37000000,33619.80014887
2024-06-29,3373.75000000,3403.09000000,3366.21000000,3373.26000000,24185.37815898
2024-06-28,3445.57000000,3484.72000000,3360.01000000,3373.62000000,102502.65124597
2024-06-27,3369.76000000,3474.12000000,3359.23000000,3445.58000000,76984.49380219
2024-06-26,3393.59000000,3425.44000000,3323.00000000,3369.31000000,82891.41588974
2024-06-25,3350.60000000,3430.60000000,3334.79000000,3393.60000000,105747.82411729
2024-06-24,3418.42000000,3432.50000000,3233.75000000,3350.59000000,171526.13894959
2024-06-23,3494.09000000,3519.79000000,3405.07000000,3418.42000000,43942.98809967
2024-06-22,3517.18000000,3520.03000000,3473.78000000,3494.09000000,30075.61851665
2024-06-21,3510.73000000,3545.99000000,3444.70000000,3517.19000000,103321.37276566
2024-06-20,3559.24000000,3624.28000000,3483.50000000,3510.73000000,108383.66568546
2024-06-19,3482.07000000,3585.77000000,3464.44000000,3559.14000000,103693.89596402
2024-06-18,3509.81000000,3515.87000000,3351.00000000,3482.06000000,129044.70825538
2024-06-17,3622.53000000,3640.00000000,3463.38000000,3509.55000000,111781.88622712
2024-06-16,3566.82000000,3651.51000000,3538.74000000,3622.10000000,44147.59671264
2024-06-15,3479.53000000,3591.87000000,3470.96000000,3566.69000000,56700.50673905
2024-06-14,3467.90000000,3529.83000000,3360.62000000,3479.53000000,102617.12125958
2024-06-13,3559.14000000,3560.60000000,3425.87000000,3467.65000000,108846.17560996
2024-06-12,3497.27000000,3657.05000000,3461.52000000,3559.14000000,98483.84286884
2024-06-11,3665.86000000,3671.47000000,3381.00000000,3497.31000000,137575.16363517
2024-06-10,3706.40000000,3712.60000000,3643.02000000,3665.86000000,43724.86169828
2024-06-09,3680.89000000,3721.16000000,3666.20000000,3706.27000000,19656.41005708
2024-06-08,3676.31000000,3707.99000000,3658.00000000,3680.84000000,28751.32754441
2024-06-07,3812.04000000,3839.71000000,3575.23000000,3676.35000000,110370.11489481
2024-06-06,3866.42000000,3879.15000000,3758.19000000,3812.09000000,53756.61177270
2024-06-05,3810.24000000,3888.90000000,3777.25000000,3866.57000000,67943.79281961
2024-06-04,3766.12000000,3832.56000000,3730.56000000,3810.29000000,57771.03645715
2024-06-03,3778.88000000,3850.06000000,3757.32000000,3766.09000000,66419.59243831
2024-06-02,3812.49000000,3835.00000000,3750.59000000,3778.88000000,44725.20926266
2024-06-01,3758.44000000,3829.99000000,3748.31000000,3812.48000000,33739.89750423
2024-05-31,3746.64000000,3846.00000000,3720.52000000,3758.44000000,83743.90660225
