Date,1. open,2. high,3. low,4. close,Volume
2024-07-13,139.55000000,139.56000000,138.65000000,139.06000000,16710.00130938
2024-07-12,135.70000000,140.63000000,133.91000000,139.55000000,732342.16368954
2024-07-11,141.98000000,146.00000000,135.68000000,135.70000000,848475.59615245
2024-07-10,141.45000000,146.31000000,138.58000000,141.99000000,636533.58943251
2024-07-09,139.78000000,144.28000000,136.44000000,141.44000000,827564.78105877
2024-07-08,131.59000000,141.93000000,127.75000000,139.77000000,1308320.45205163
2024-07-07,143.05000000,143.37000000,131.17000000,131.61000000,661297.91052354
2024-07-06,134.31000000,144.31000000,132.36000000,143.07000000,691487.77602451
2024-07-05,127.83000000,136.45000000,121.01000000,134.31000000,1798686.89675642
2024-07-04,140.69000000,142.61000000,127.14000000,127.83000000,1284185.64252140
2024-07-03,153.81000000,154.26000000,138.91000000,140.69000000,1407380.62455737
2024-07-02,146.51000000,154.80000000,145.98000000,153.81000000,731013.97753863
2024-07-01,146.36000000,149.11000000,145.67000000,146.52000000,846426.29903135
2024-06-30,140.00000000,147.44000000,136.89000000,146.37000000,758296.92507119
2024-06-29,139.75000000,142.97000000,139.45000000,140.00000000,733598.96608316
2024-06-28,149.48000000,150.62000000,138.72000000,139.75000000,1078777.77755784
2024-06-27,136.73000000,151.15000000,135.06000000,149.48000000,1105081.88346650
2024-06-26,136.54000000,140.37000000,134.76000000,136.72000000,627197.30098717
2024-06-25,132.27000000,139.89000000,131.14000000,136.53000000,1452524.92996686
2024-06-24,128.58000000,132.57000000,122.18000000,132.26000000,2215563.26554733
2024-06-23,133.64000000,135.05000000,128.00000000,128.59000000,454001.96818000
2024-06-22,134.56000000,136.64000000,132.91000000,133.65000000,318936.95295139
2024-06-21,133.49000000,135.34000000,128.61000000,134.54000000,1144767.97414723
2024-06-20,135.59000000,141.28000000,131.81000000,133.49000000,1122806.59179073
2024-06-19,137.34000000,141.88000000,134.41000000,135.59000000,773852.80461872
2024-06-18,143.24000000,143.76000000,128.00000000,137.37000000,1722471.07323113
2024-06-17,151.22000000,151.73000000,139.77000000,143.25000000,744074.60029120
2024-06-16,145.45000000,151.26000000,142.97000000,151.22000000,348354.54491309
2024-06-15,142.98000000,145.68000000,142.84000000,145.45000000,285002.23960479
2024-06-14,147.23000000,148.94000000,139.56000000,142.98000000,944501.87423291
2024-06-13,155.18000000,155.18000000,145.97000000,147.23000000,803839.65623014
2024-06-12,149.32000000,161.85000000,145.46000000,155.18000000,934640.79572654
2024-06-11,158.99000000,159.67000000,144.95000000,149.32000000,1339784.17466776
2024-06-10,162.12000000,163.18000000,157.48000000,158.98000000,349339.89974703
2024-06-09,157.79000000,163.00000000,156.51000000,162.12000000,261672.49507329
2024-06-08,162.46000000,163.72000000,157.30000000,157.79000000,412608.49566585
2024-06-07,170.10000000,172.72000000,153.75000000,162.47000000,885283.82667966
2024-06-06,173.57000000,174.60000000,167.59000000,170.10000000,510181.55093299
2024-06-05,171.81000000,175.62000000,171.06000000,173.58000000,766671.99922783
2024-06-04,164.88000000,171.88000000,164.30000000,171.81000000,680588.11096016
2024-06-03,163.03000000,167.14000000,161.50000000,164.88000000,745617.24715896
2024-06-02,165.99000000,166.97000000,161.27000000,163.02000000,574719.23000784
2024-06-01,165.50000000,167.81000000,165.49000000,165.99000000,288521.39235233
2024-05-31,166.81000000,170.88000000,163.75000000,165.51000000,748373.81288618
2024-05-30,168.11000000,172.54000000,163.48000000,166.83000000,944812.84218417
2024-05-29,168.50000000,173.80000000,167.01000000,168.13000000,815289.32437549
2024-05-28,170.02000000,173.11000000,164.82000000,168.50000000,663656.34702510
2024-05-27,163.25000000,172.12000000,163.17000000,170.02000000,586791.04550049
2024-05-26,168.33000000,168.39000000,160.36000000,163.24000000,1014996.85907125
2024-05-25,167.68000000,170.49000000,165.89000000,168.33000000,418409.70355585
2024-05-24,176.07000000,176.07000000,162.45000000,167.68000000,1223312.68739923
2024-05-23,176.85000000,180.96000000,165.61000000,176.11000000,1782217.15429252
2024-05-22,178.12000000,183.46000000,175.00000000,176.84000000,1195022.05510768
2024-05-21,186.71000000,188.90000000,174.26000000,178.12000000,1246348.96485656
2024-05-20,169.92000000,188.41000000,167.70000000,186.74000000,1174312.69240078
2024-05-19,172.45000000,175.51000000,166.01000000,169.92000000,497663.13755870
2024-05-18,169.51000000,175.99000000,168.70000000,172.46000000,635692.90677353
2024-05-17,159.37000000,172.08000000,159.34000000,169.48000000,895763.36156161
2024-05-16,158.60000000,164.75000000,156.70000000,159.37000000,1167422.66374857
2024-05-15,141.98000000,158.86000000,141.22000000,158.60000000,1322013.61046680
2024-05-14,147.50000000,151.50000000,141.75000000,141.96000000,819839.49994860
2024-05-13,143.36000000,150.80000000,137.82000000,147.49000000,1070319.88805558
2024-05-12,145.37000000,147.69000000,142.57000000,143.35000000,369169.37240576
2024-05-11,146.01000000,147.66000000,143.05000000,145.37000000,574750.86521124
2024-05-10,152.55000000,155.74000000,144.41000000,146.01000000,1217658.46121303
2024-05-09,142.14000000,153.37000000,140.53000000,152.54000000,918780.04069924
2024-05-08,148.04000000,149.95000000,140.00000000,142.13000000,899535.93350958
2024-05-07,152.85000000,159.18000000,148.00000000,148.05000000,838121.36375189
2024-05-06,145.74000000,157.03000000,145.44000000,152.83000000,1001891.54552638
2024-05-05,146.07000000,148.00000000,143.00000000,145.74000000,461407.51335516
2024-05-04,143.75000000,149.11000000,142.25000000,146.06000000,528753.80408235
2024-05-03,137.57000000,145.03000000,132.10000000,143.73000000,1013126.42072374
2024-05-02,134.45000000,141.00000000,128.16000000,137.57000000,1090679.71832366
2024-05-01,126.63000000,135.86000000,118.68000000,134.46000000,1644144.61431275
2024-04-30,137.73000000,139.74000000,121.00000000,126.66000000,1507577.39141503
2024-04-29,137.98000000,138.90000000,133.37000000,137.73000000,795190.75029224
2024-04-28,141.24000000,144.60000000,137.02000000,137.98000000,486682.09806583
2024-04-27,139.19000000,142.97000000,133.00000000,141.22000000,689266.47540085
2024-04-26,144.84000000,146.11000000,138.73000000,139.22000000,613573.32473004
2024-04-25,147.71000000,149.49000000,142.04000000,144.83000000,976021.09556298
2024-04-24,154.69000000,159.78000000,145.25000000,147.71000000,1124542.72440691
2024-04-23,157.02000000,160.00000000,153.15000000,154.69000000,810829.36898627
2024-04-22,148.81000000,158.50000000,146.70000000,157.02000000,909774.34620336
2024-04-21,151.28000000,153.59000000,146.80000000,148.82000000,567246.82127678
2024-04-20,142.54000000,152.48000000,139.70000000,151.33000000,715494.40864999
2024-04-19,142.14000000,147.63000000,128.47000000,142.56000000,2002415.83339281
2024-04-18,131.83000000,143.94000000,127.70000000,142.14000000,1153922.78563056
2024-04-17,136.28000000,142.77000000,126.68000000,131.84000000,1616654.90102712
2024-04-16,138.56000000,140.69000000,126.51000000,136.26000000,1559225.03327458
2024-04-15,151.42000000,156.27000000,133.70000000,138.56000000,1551585.60621083
2024-04-14,138.59000000,152.95000000,130.00000000,151.44000000,2110116.52767288
2024-04-13,153.22000000,154.99000000,121.88000000,138.48000000,3109359.05404368
2024-04-12,172.34000000,175.99000000,143.00000000,153.24000000,1500902.72767040
2024-04-11,173.33000000,176.34000000,170.04000000,172.35000000,653648.74111884
2024-04-10,172.27000000,175.52000000,162.27000000,173.34000000,1022106.34957454
2024-04-09,180.65000000,180.90000000,168.89000000,172.31000000,952573.65814674
2024-04-08,179.52000000,184.63000000,175.27000000,180.66000000,924071.28862213
2024-04-07,178.71000000,182.73000000,176.84000000,179.53000000,681047.65676867
2024-04-06,174.46000000,179.87000000,173.45000000,178.73000000,583429.67034848
2024-04-05,184.11000000,185.23000000,168.00000000,174.46000000,1195885.85501715
2024-04-04,185.12000000,190.22000000,180.27000000,184.15000000,883909.91116581
2024-04-03,181.58000000,191.96000000,177.00000000,185.11000000,842258.56044078
2024-04-02,192.37000000,192.39000000,175.89000000,181.54000000,1539301.55340381
2024-04-01,202.41000000,204.25000000,186.91000000,192.35000000,1229843.89934343
2024-03-31,194.28000000,203.15000000,193.76000000,202.38000000,857355.43315829
2024-03-30,192.14000000,199.98000000,190.85000000,194.26000000,822342.88355242
2024-03-29,189.66000000,193.08000000,183.23000000,192.15000000,929561.35164297
2024-03-28,186.23000000,191.00000000,180.72000000,189.68000000,977206.39520309
2024-03-27,190.48000000,192.59000000,180.00000000,186.24000000,1348099.68250393
2024-03-26,189.04000000,198.03000000,184.56000000,190.48000000,1176961.35915771
2024-03-25,183.87000000,194.60000000,180.96000000,188.99000000,1380524.45982921
2024-03-24,172.68000000,186.80000000,171.32000000,183.88000000,773163.78833068
2024-03-23,175.24000000,180.00000000,170.33000000,172.70000000,789254.28539747
2024-03-22,179.41000000,181.89000000,167.60000000,175.24000000,1171269.14801193
2024-03-21,191.81000000,195.79000000,175.50000000,179.40000000,1298865.92067615
2024-03-20,169.76000000,193.33000000,162.41000000,191.91000000,2495156.64072634
2024-03-19,195.90000000,198.70000000,165.37000000,169.76000000,3064329.55900921
2024-03-18,201.70000000,209.90000000,193.60000000,195.96000000,2227273.86347729
2024-03-17,181.98000000,204.12000000,178.55000000,201.69000000,1907137.49023163
2024-03-16,184.00000000,197.86000000,176.71000000,181.99000000,2428380.90451423
2024-03-15,176.69000000,188.88000000,164.58000000,183.91000000,3280753.57055337
2024-03-14,163.95000000,178.35000000,159.20000000,176.69000000,2419785.46609521
2024-03-13,151.10000000,167.00000000,148.78000000,163.95000000,1978293.24666427
2024-03-12,148.91000000,155.00000000,141.72000000,151.06000000,2110807.52605998
2024-03-11,144.58000000,150.18000000,137.00000000,148.90000000,1851440.86302679
2024-03-10,144.58000000,148.73000000,140.61000000,144.56000000,982832.66049622
2024-03-09,145.12000000,149.49000000,144.00000000,144.58000000,622487.61812096
2024-03-08,144.05000000,153.00000000,142.09000000,145.12000000,1677393.50257527
2024-03-07,130.91000000,150.00000000,130.64000000,144.06000000,2846946.89393590
2024-03-06,125.48000000,134.95000000,120.08000000,130.88000000,1616349.06906451
2024-03-05,133.48000000,143.00000000,110.00000000,125.55000000,3190928.13761199
